Testing Time:2022-05-11 18:14:16.347935
--------------------------------------------------
------------First PID----------------
kp_angle = 20.0, ki_angle = 13.0, kd_angle = 0.5, kp_speed = 20.0, ki_speed = 15.0, Speed Desired = 0.7
Time		Speed_desired		Wheel_speed	Speed_error	Speed_error_cum	Angle_desired	imu_angle	angle_error	angle_error_cum	angle_diff	motor_output
1652310856.35		0.70		-0.00		0.70		0.01		10.00		1.47		8.53		0.07		1119.64		-731.34
1652310856.38		0.70		3.70		0.70		0.01		10.00		1.47		8.53		0.28		-0.09		-174.19
1652310856.41		0.70		1.37		-0.67		-0.01		10.00		1.84		8.16		0.48		-14.57		-162.28
1652310856.43		0.70		0.09		-0.67		-0.01		10.00		2.95		7.05		0.68		-40.55		-129.45
1652310856.46		0.70		1.00		-0.30		-0.02		10.00		5.00		5.00		0.81		-79.86		-70.60
1652310856.48		0.70		0.58		-0.30		-0.02		10.00		7.06		2.94		0.88		-81.67		-29.32
1652310856.51		0.70		0.25		0.45		-0.01		10.00		9.27		0.73		0.90		-83.95		15.59
1652310856.53		0.70		-0.17		0.45		-0.01		10.00		11.57		-1.57		0.86		-101.62		70.97
1652310856.56		0.70		-0.00		0.70		0.01		10.00		14.03		-4.03		0.76		-100.32		120.80
1652310856.58		0.70		-0.08		0.70		0.01		10.00		15.82		-5.82		0.61		-65.57		141.38
1652310856.61		0.70		-0.00		0.70		0.02		10.00		17.32		-7.32		0.45		-70.17		175.68
1652310856.63		0.70		-0.00		0.70		0.02		10.00		19.01		-9.01		0.23		-69.33		211.95
1652310856.66		0.70		-0.00		0.70		0.04		10.00		20.56		-10.56		-0.04		-61.37		242.41
1652310856.68		0.70		-0.00		0.70		0.04		10.00		21.80		-11.80		-0.35		-46.94		263.96
1652310856.71		0.70		-0.08		0.78		0.06		10.00		22.20		-12.20		-0.68		-14.84		260.29
1652310856.73		0.70		-0.40		0.78		0.06		10.00		22.39		-12.39		-0.95		-8.87		264.64
1652310856.76		0.70		-0.17		0.87		0.09		10.00		22.47		-12.47		-1.26		-2.96		267.29
1652310856.78		0.70		-0.67		0.87		0.09		10.00		21.89		-11.89		-1.57		22.72		246.75
1652310856.81		0.70		-0.50		1.20		0.11		10.00		20.97		-10.97		-1.83		38.57		223.96
1652310856.83		0.70		-0.92		1.20		0.11		10.00		19.36		-9.36		-2.07		62.10		183.01
1652310856.86		0.70		-0.88		1.58		0.15		10.00		17.41		-7.41		-2.26		75.93		139.71
1652310856.88		0.70		-1.16		1.58		0.15		10.00		15.02		-5.02		-2.39		91.48		85.72
1652310856.91		0.70		-0.93		1.63		0.19		10.00		12.71		-2.71		-2.46		98.68		36.80
1652310856.93		0.70		-0.66		1.63		0.19		10.00		10.52		-0.52		-2.47		83.32		0.94
1652310856.96		0.70		-0.41		1.11		0.22		10.00		8.55		1.45		-2.44		86.84		-40.75
